/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2005-05-19.1958.asc
  40.80 262.82  941.  358.  11 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 5   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.3368
      1.00000      32.3368
      3.00000      32.3368
      7.00000      26.3942
      10.0000      23.8036
      20.0000      21.6460
      30.0000      18.7537
      40.0000      16.5781
      50.0000      15.9462
      70.0000      18.8465
      100.000      24.1068
      150.000      38.6335
      200.000      67.5799
      250.000      84.8833
      300.000      102.187
      350.000      119.490
      400.000      119.560
      450.000      119.220
      500.000      121.795
      550.000      113.470
      600.000      93.7300
      650.000      99.3200
      700.000      104.910
      750.000      113.830
      800.000      128.620
      850.000      130.773
      875.000      131.850
      900.000      132.737
      925.000      133.623
      950.000      134.510
      975.000      134.510
      1000.00      134.510
      1020.00      134.510
      1040.00      134.510
      1060.00      134.510
