/net/mopfl2021/MOPITT/project/mopsips/data/val/cmdl/profile/PROFILES_FOR_V10_VALIDATION/NOAA_PROFILES_PRE_2024/co_aircraft-pfp_ccgg_text/RAW/bne/bne_raw_2006-07-06.1424.asc
  40.80 262.82  941.  352.   5 (lat_N,lon_E,presmax_mbar,presmin_mbar, Ndata)
extrapolated with CAM-Chem/MERRA monthly mean for month# 7   40.7 N,   262.5 E
averaged to MOPITT 35 levels
      pres_mb      CO_ppbv
     0.200000      32.2333
      1.00000      32.2333
      3.00000      32.2333
      7.00000      26.2314
      10.0000      23.3561
      20.0000      20.0639
      30.0000      17.9859
      40.0000      16.6148
      50.0000      16.0361
      70.0000      19.3714
      100.000      32.3216
      150.000      53.2601
      200.000      69.8100
      250.000      86.3600
      300.000      102.910
      350.000      102.910
      400.000      106.556
      450.000      110.201
      500.000      113.847
      550.000      117.493
      600.000      121.139
      650.000      124.784
      700.000      128.430
      750.000      131.060
      800.000      133.690
      850.000      156.245
      875.000      167.523
      900.000      178.800
      925.000      174.395
      950.000      169.990
      975.000      169.990
      1000.00      169.990
      1020.00      169.990
      1040.00      169.990
      1060.00      169.990
